D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
90001|2024|Rolls-Royce|Cullinan|SUV|Black|150|450000.00
90002|2023|Ferrari|296 GTB|Coupe|Red|1200|320000.00
80001|2022|Porsche|911 Carrera|Coupe|Silver|5400|115000.00
80002|2023|Maserati|Levante|SUV|Blue|800|92000.00
80003|2023|Land Rover|Defender|SUV|Green|12000|78000.00
80004|2021|Bentley|Continental GT|Coupe|White|15000|210000.00
80005|2024|Mercedes-Maybach|S-Class|Sedan|Obsidian Black|500|195000.00
70001|2022|Mercedes-Benz|C-Class|Sedan|Grey|22000|46000.00
70002|2023|BMW|X5|SUV|Mineral White|11000|67000.00
70003|2021|Audi|A6|Sedan|Navarra Blue|31000|48000.00
70004|2023|Volvo|XC90|SUV|Silver|9000|62000.00
70005|2022|Lexus|RX 350|SUV|Matador Red|18000|54000.00
70006|2023|Tesla|Model S|Sedan|Ultra Red|4500|88000.00
60001|2022|Toyota|Camry|Sedan|White|35000|27500.00
60002|2023|Honda|CR-V|SUV|Crystal Black|12000|33000.00
60003|2021|Subaru|Outback|Wagon|Autumn Green|42000|29000.00
60004|2023|Hyundai|Elantra|Sedan|Intense Blue|8500|23000.00
60005|2022|Ford|F-150|Truck|Iconic Silver|28000|44000.00
60006|2022|Mazda|CX-5|SUV|Soul Red|24000|30500.00
60007|2024|Kia|Carnival|Van|Ceramic Silver|1500|39500.00
